"Comment","LikeCount"
"“If you and Venom stay together, the world will end”<br>Venom: “LETS GO GAMBLING!!” AWW DANG IT!!!”","5737"
"Every time someone likes my comment I&#39;ll watch it again","5503"
"HOLY SHIT! NEVER THOUGHT KNULL IN LIVE ACTION WAS POSSIBLE BUT HERE WE ARE","3352"
"How does Tom Cruise do this 💀<br><br>Tom Cruise: I do my own stunts","2393"
"Venom at the start of the trailer: <b>Very  serious</b><br>Venom at the end of the trailer: &#39;&#39;Let&#39;s go gambling!&#39;&#39;","2135"
"Venom having his own trilogy is something i never thought i needed","2091"
"First movie: Venom vs bad Venom<br>2nd movie: Venom vs crazy Venom<br>Last movie: Venom vs the Planet of the Venoms","1804"
"They fucking casually INTRODUCED KNULL!!!!!!💀💀💀💀💀💀💀💀","1390"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=168"">2:48</a> “Eddie I need more money” that crack me up 😂","1224"
"The fact that Venom got a trilogy before the Justice League will never stop being funny.","1205"
"Venom is just like your mildly infuriating roommate in college but you need him to pass the test","984"
"“Eddie I need more money”- Sony After Madame Web Bombed 🤣😂","713"
"Sony: we need money<br>Venom 3: alright let&#39;s put knull innit","662"
"Deadpool:Paul ruud Finlly aged<br>Eddie:how does Tom cruise do this","606"
"Venom : &quot;We Are Venom.&quot;<br>Spiderman : &quot;We Are Enemy.&quot;","605"
"I honestly don’t care if the story for this movie is a complete mess but the Venom films are the only Sony/Marvel movies I’ve actually had enjoyed can’t wait for this one.","425"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=52"">0:52</a> KNULLLLL<br><br>edit: just watched the whole trailer. i’m hype.","419"
"We really got a Venom trilogy before TASM3...😭","417"
"&quot;Eddie... I need more money!&quot; 😂😂😂","406"
"&#39;&#39;Eddie I am with you to the end&#39;&#39; That hits hard!","375"
"“We are in deep shit.” 😂😂😂","281"
